GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot (killed), MoveForward (killed), RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
killed, killed, RotateLeft90, MoveForward (ignored)
Tie, reached max steps=20, player1 has 1, player2 has 1
